epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
58,2857.68,1.41402,0.18919,0.2973,5.03902,6.1282e-05,6.1282e-05,6.1282e-05
59,2889.39,1.34765,0.18919,0.2973,5.18801,5.8708e-05,5.8708e-05,5.8708e-05
60,2960.01,1.38678,0.18919,0.2973,4.75508,5.6134e-05,5.6134e-05,5.6134e-05
61,3061.16,1.38481,0.17568,0.2973,4.73879,5.356e-05,5.356e-05,5.356e-05
62,3093.25,1.40565,0.17568,0.2973,4.84604,5.0986e-05,5.0986e-05,5.0986e-05
63,3128.03,1.33659,0.17568,0.2973,4.81278,4.8412e-05,4.8412e-05,4.8412e-05
64,3161.28,1.29787,0.18919,0.2973,4.69038,4.5838e-05,4.5838e-05,4.5838e-05
65,3208.23,1.32396,0.18919,0.2973,4.99292,4.3264e-05,4.3264e-05,4.3264e-05
66,3245.9,1.3631,0.18919,0.31081,4.95159,4.069e-05,4.069e-05,4.069e-05
67,3282.17,1.36048,0.2027,0.31081,4.82444,3.8116e-05,3.8116e-05,3.8116e-05
68,3382.43,1.30293,0.2027,0.2973,4.75929,3.5542e-05,3.5542e-05,3.5542e-05
69,3419.25,1.28024,0.21622,0.2973,5.11114,3.2968e-05,3.2968e-05,3.2968e-05
70,3456.62,1.42391,0.2027,0.31081,4.77125,3.0394e-05,3.0394e-05,3.0394e-05
71,3491.22,1.32441,0.18919,0.31081,4.67164,2.782e-05,2.782e-05,2.782e-05
72,3522.17,1.30021,0.18919,0.31081,4.82527,2.5246e-05,2.5246e-05,2.5246e-05
73,3552.72,1.27069,0.18919,0.28378,4.80308,2.2672e-05,2.2672e-05,2.2672e-05
74,3584.03,1.32469,0.2027,0.28378,4.75482,2.0098e-05,2.0098e-05,2.0098e-05
75,3614.32,1.25674,0.18919,0.28378,4.53542,1.7524e-05,1.7524e-05,1.7524e-05
76,3644.27,1.33876,0.2027,0.28378,4.56714,1.495e-05,1.495e-05,1.495e-05
